date,time,temperature,humidity,wind_speed,precipitation
1/23/2022,2:00:00,12.4285,87.5,17.972277,0.15
1/23/2022,4:00:00,14.6285,77,13.573287,0.05
1/23/2022,6:00:00,16.8785,66,6.490815,0
1/23/2022,8:00:00,16.8035,62,2.8142319,0
1/23/2022,10:00:00,16.453499,60.5,7.439888,0.05
1/23/2022,12:00:00,14.578501,70.5,10.884882,0
1/23/2022,14:00:00,13.5285,76,10.665451,0
1/23/2022,16:00:00,12.8285,79,11.19964,0
1/23/2022,18:00:00,12.0535,83.5,7.839756,0.1
1/23/2022,20:00:00,11.7285,85,9.527165,0.1
1/23/2022,22:00:00,11.1535,87,11.211573,0
1/24/2022,0:00:00,10.7535,88,9.387341,0
1/24/2022,2:00:00,12.3285,78,4.505368,0
1/24/2022,4:00:00,15.303499,61.5,4.492466,0
1/24/2022,6:00:00,17.328499,48,5.589035,0
1/24/2022,8:00:00,18.0285,41.5,6.4622726,0
1/24/2022,10:00:00,17.203499,43,10.463861,0
1/24/2022,12:00:00,15.3535,54,13.05192,0
1/24/2022,14:00:00,14.0285,63,11.210394,0
1/24/2022,16:00:00,13.1035,68.5,9.709503,0
1/24/2022,18:00:00,12.4785,71.5,10.8069935,0
1/24/2022,20:00:00,11.7285,73.5,13.474327,0
1/24/2022,22:00:00,10.9035,75.5,14.224104,0
1/25/2022,0:00:00,10.3785,78.5,11.598925,0
1/25/2022,2:00:00,11.8285,70,11.947671,0
1/25/2022,4:00:00,14.7785,53.5,11.588005,0
1/25/2022,6:00:00,16.6535,44.5,11.996998,0
1/25/2022,8:00:00,17.328499,42.5,13.402365,0
1/25/2022,10:00:00,16.1535,46.5,16.309772,0
1/25/2022,12:00:00,14.1285,56.5,12.331492,0
1/25/2022,14:00:00,13.078501,63,11.580769,0
1/25/2022,16:00:00,12.3535,67,11.767523,0
1/25/2022,18:00:00,11.6785,71,11.15419,0
1/25/2022,20:00:00,11.1035,75.5,11.504065,0
1/25/2022,22:00:00,10.578501,79.5,11.870647,0
1/26/2022,0:00:00,10.1285,82.5,8.371804,0
1/26/2022,2:00:00,11.903501,72,6.529706,0
1/26/2022,4:00:00,14.8785,55,11.882824,0
1/26/2022,6:00:00,16.628498,47,16.563293,0
